# Implementace oboustrane zretezeneho spojoveho seznamu
# -----------------------------------------------------
#
# +-------+      +-------+                 +-------+
# |       |----->|       |----->     ----->|       |
# | data1 |      | data2 |       ...       | dataN |
# |       |<-----|       |<-----     <-----|       |
# +-------+      +-------+                 +-------+
#
# * oboustrane zretezeny seznam jako trida C++
# * nacteni osobnich dat z tohoto souboru dle nize uvedene struktury
#   + konstruktor - inicializace
#   + destruktor - uvolneni alokovanych zdroju
#   + nacteni dat ze souboru
#   + vypis obsahu seznamu
#   + delka spojoveho seznamu
#   + metoda pro pridani / odebrani ze zacatku spojoveho seznamu
#   + metoda pro pridani / odebrani z konce spojoveho seznamu
#   + metoda pro pridani / odebrani z pozice ve spojovem seznamu
#   + odstraneni vsech prvku ze seznamu
#   + vypsani nejstarsi osoby
#   + vypsani zadaneho poctu nejvyssich osob, vypis serazen dle vysky
# * vsechny vypisy je mozne zobrazit jak v konzoli, tak ulozit do souboru
# * rozdeleni zdrojoveho kodu do vice souboru
#
# Dostatecne informace k implementaci by snad meli byt v ukazkach, ktere jsem
# vytvarel behem semestru http://kmlinux.fjfi.cvut.cz/~vokacpet/zpro/, ale
# existuje rada dalsi zdroju, kde lze ziskat informace o zakladech programovani
# v C++ (napr. https://www.learncpp.com/, http://www.cplusplus.com/doc/tutorial/, ...).
#
#
# struktura datoveho souboru:
# * id .......... identifikacni cislo osoby
# * givenName ... jmeno
# * sn .......... prijmeni
# * birthday .... datum narozeni YYYY-m-d
# * height ...... vyska
# * weight ...... vaha
# * mother_id ... identifikacni cislo matky (-1 = nedefinovane)
# * father_id ... identifikacni cislo otce (-1 = nedefinovane)
#
# birthday;mother_id;givenName;height;id;father_id;weight;sn
2000-9-27;25677;Michal;173;67627;26992;68.5;Spick
1993-11-10;98671;Michal;168;54788;76973;60.8;Spergl
1996-11-24;-1;Katerina;173;60097;-1;62.5;Zachovalova
1946-9-20;-1;Petr;188;55638;-1;78.0;Durcik
2000-9-10;-1;Andrea;187;43455;-1;71.7;Sulikova
1945-6-10;-1;Petr;193;98582;-1;80.3;Cechura
2000-8-13;59843;Jan;183;94915;-1;79.1;Hanus
2006-12-23;39879;Klara;160;63942;33588;64.0;Reichlova
1993-9-15;39091;Jaroslav;182;15551;98308;65.4;Vedral
2004-12-5;39879;Viktoria;149;18188;33588;41.3;Reichlova
1966-8-22;-1;Julie;162;98671;-1;64.7;Sperglova
1964-6-23;-1;Lucie;151;65647;-1;46.3;Cirusova
1982-8-20;90819;Lenka;188;52745;72816;85.7;Kremlikova
1993-11-7;-1;Frantisek;177;16618;-1;52.1;Cabalka
1988-4-27;39091;Roman;172;78876;98308;51.8;Vedral
1973-6-16;18230;Olga;170;59843;29351;65.4;Hanusova
2018-7-6;52642;Jiri;71;65452;46642;8.7;Svoboda
1933-10-8;-1;Jana;171;89736;-1;84.3;Kasparaova
2016-5-23;21946;Veronika;90;44263;45158;11.0;Drsova
2014-7-9;36211;Lubomir;109;82758;15850;24.2;Nefedyev
2000-2-21;19454;Katerina;173;12849;86431;58.0;Cabalkaova
1958-11-24;73851;Jakub;179;58506;26427;63.9;Nefedyev
1999-1-18;59843;Katerina;166;20701;-1;77.7;Hanusova
1970-7-4;-1;Kristyna;190;25677;-1;65.9;Spickova
1921-10-23;-1;Lucie;189;59466;-1;70.7;Konradova
1988-8-19;39091;Robert;181;59306;98308;74.6;Vedral
